"","simulation_id","HR_target","scenario_functions","n_patients","max_time","doses","binarization_dose","n_knots","constraint","cutoff","n_bootstraps","BIC","HR","lower_IC","higher_IC"
"87","2024-04-25 : variability simulation 100000_condition-1_87",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8660.25531596077,1.15812397983976,0.843941478942329,1.61853272562613
"88","2024-04-25 : variability simulation 100000_condition-1_88",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8736.92833897229,1.58157154753471,1.15521938335178,2.22970436084051
"89","2024-04-25 : variability simulation 100000_condition-1_89",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8861.13741978583,1.05201163856034,0.785382053721596,1.4560244643948
"90","2024-04-25 : variability simulation 100000_condition-1_90",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8724.91663150133,1.16648876249313,0.837372524193915,1.57745582641199
"91","2024-04-25 : variability simulation 100000_condition-1_91",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8572.39591399333,1.1240791310553,0.823227320672737,1.53964400438222
"92","2024-04-25 : variability simulation 100000_condition-1_92",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8612.23453259278,1.44322353099847,1.04717201991847,1.95739204123607
"93","2024-04-25 : variability simulation 100000_condition-1_93",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8824.35904732437,1.49486120021769,1.1034221077449,2.0636748205044
"94","2024-04-25 : variability simulation 100000_condition-1_94",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8738.70467270949,1.4834197342311,1.12344461619303,1.98310942781729
"95","2024-04-25 : variability simulation 100000_condition-1_95",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8891.53858111476,1.49370178079564,1.11423555336264,2.02508476018807
"96","2024-04-25 : variability simulation 100000_condition-1_96",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8803.7447220259,1.33336348117915,0.999925279337366,1.80481989663769
"97","2024-04-25 : variability simulation 100000_condition-1_97",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8430.1853894618,1.60969627940338,1.21328568640447,2.15792878744792
"98","2024-04-25 : variability simulation 100000_condition-1_98",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8862.02896306187,1.16699244139707,0.855147661960656,1.61187421638308
"99","2024-04-25 : variability simulation 100000_condition-1_99",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8509.4012666955,1.8396272944661,1.3666875582483,2.5272186441023
